name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
"OAK Long Bar + Kitchen, Boston","138 Saint James Ave, Boston, MA 02116-5002",(734),386,186,88,41,16,$$ - $$$,American,Bar,Soups
"Ristorante Toscano, Boston","47 Charles St, Boston, MA 02114-4605",(653),358,164,42,19,19,$$$$,Italian,Tuscan,Central-Italian
"Emmets Irish Pub & Restaurant, Boston","6 Beacon St, Boston, MA 02108-3808",(403),193,139,28,13,9,$$ - $$$,Irish,Bar,Pub
"B & G Oysters, Boston","550 Tremont St, Boston, MA 02116-6314",(708),368,188,70,26,9,$$ - $$$,American,Seafood,Gluten Free Options
"Teatro Restaurant, Boston","177 Tremont St, Boston, MA 02111-1020",(556),289,165,43,11,5,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Grotto, Boston","37 Bowdoin St, Boston, MA 02114-4201",(390),216,112,25,11,9,$$ - $$$,Italian,European,Vegetarian Friendly
"75 Chestnut, Boston","75 Chestnut St Ste 1, Boston, MA 02108-1137",(431),210,141,29,4,3,$$ - $$$,American,Bar,Vegetarian Friendly
"Barcelona Wine Bar, Boston","525 Tremont St, Boston, MA 02116-6306",(475),289,102,30,8,15,$$ - $$$,Mediterranean,European,Spanish
"Taranta, Boston","210 Hanover St, Boston, MA 02113-2302",(324),176,90,32,3,3,$$ - $$$,Italian,Peruvian,Vegetarian Friendly
"Myers + Chang, Boston","1145 Washington St, Boston, MA 02118-2728",(591),325,171,42,19,9,$$ - $$$,Chinese,Asian,Hong Kong
"Carlo's Cucina Italiana, Boston","131 Brighton Ave, Boston, MA 02134-2802",(212),140,45,7,1,4,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Cafe Polonia, Boston","611 Dorchester Ave, Boston, MA 02127-3509",(161),101,41,14,1,0,$$ - $$$,Polish,European,Eastern European
"The Daily Catch, Boston","323 Hanover St, Boston, MA 02113-1820",(947),514,198,72,35,38,$$ - $$$,Italian,Vegetarian Friendly,
"Basile - Fine Italian Kitchen, Boston","162 Columbus Ave Back Bay / South End, Boston, MA 02116-5235",(258),151,59,23,5,3,$$$$,Italian,Tuscan,Lombard
"Yvonne's, Boston","2 Winter Pl, Boston, MA 02108-4733",(418),252,93,30,10,11,$$$$,American,Vegetarian Friendly,Vegan Options
"Island Creek Oyster Bar, Boston","500 Commonwealth Ave, Boston, MA 02215-2606","(2,049)","1,243",425,151,46,26,$$ - $$$,American,Bar,Seafood
"Santarpio's Pizza, Boston","111 Chelsea St, Boston, MA 02128-1937",(596),330,159,38,20,34,$,Italian,Pizza,Vegetarian Friendly
"Maggiano's Little Italy, Boston","4 Columbus Ave, Boston, MA 02116-3910","(1,372)",614,375,145,47,27,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"No. 9 Park, Boston","9 Park St, Boston, MA 02108-4804",(558),329,101,58,34,17,$$$$,Vegetarian Friendly,Vegan Options,Gluten Free Options
"Legal Sea Foods, Boston","255 State St Long Wharf, Boston, MA 02109-2617","(5,242)","2,154","1,387",643,235,95,$$ - $$$,American,Seafood,Vegetarian Friendly
"Bistro du Midi, Boston","272 Boylston St, Boston, MA 02116-3917",(584),305,137,69,20,6,$$$$,French,Seafood,Contemporary
"Scampo, Boston","215 Charles St Liberty Hotel, Boston, MA 02114-3001",(700),375,190,61,22,18,$$$$,Italian,Vegetarian Friendly,Vegan Options
"Lucca, Boston","226 Hanover St, Boston, MA 02113-2302",(552),259,170,66,28,6,$$$$,Italian,Vegetarian Friendly,Vegan Options
"Douzo, Boston","131 Dartmouth St, Boston, MA 02116-5297",(471),210,127,43,18,6,$$ - $$$,Japanese,Sushi,Asian
"Charlie's Sandwich Shoppe, Boston","429 Columbus Ave Ste 1, Boston, MA 02116-5959",(273),135,60,22,6,6,$,American,Cafe,Diner
Mr. Dooley's Boston Tavern,"77 Broad St, Boston, MA 02109-4808",(525),262,174,48,16,6,$$ - $$$,Irish,Bar,Pub
"Morton's The Steakhouse, Boston","2 Seaport Ln 2 Seaport Lane, Boston, MA 02210-2001",(465),219,108,54,14,4,$$$$,American,Steakhouse,Vegetarian Friendly
"The Salty Pig, Boston","130 Dartmouth St, Boston, MA 02116-5118",(511),232,198,49,11,4,$$ - $$$,American,Bar,Pizza
"Cantina Italiana, Boston","346 Hanover St, Boston, MA 02113-1911",(665),331,196,64,22,16,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Pho Basil, Boston","177A Massachusetts Ave, Boston, MA 02115-3009",(298),127,95,26,6,5,$,Asian,Thai,Vietnamese
"Nico, Boston","417 Hanover St, Boston, MA 02113-1319","(1,181)",673,303,107,31,20,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Committee, Boston","50 Northern Ave, Boston, MA 02210-1862",(246),127,76,23,6,6,$$ - $$$,Mediterranean,Greek,Vegetarian Friendly
"La Famiglia Giorgio's, Boston","112 Salem St, Boston, MA 02113-1705","(1,172)",638,299,100,46,38,$$ - $$$,Italian,Romana,Lazio
"Al Dente, Boston","109 Salem St, Boston, MA 02113-2274","(1,009)",577,254,83,26,37,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Lolita Cocina & Tequila Bar, Boston","271 Dartmouth St, Boston, MA 02116-2837",(546),302,129,39,23,18,$$ - $$$,Mexican,Latin,Bar
"UNI, Boston","370A Commonwealth Ave The Eliot Hotel, Boston, MA 02215",(270),153,52,27,18,2,$$$$,Japanese,Sushi,Asian
"Limoncello, Boston","190 North St, Boston, MA 02113-2412","(1,129)",640,270,100,46,26,$$ - $$$,Italian,Tuscan,Central-Italian
"Delfino Restaurant, Boston","754 South St, Boston, MA 02131-1740",(172),127,33,7,3,1,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Row 34, Boston","383 Congress St, Boston, MA 02210-1811",(924),486,237,86,26,14,$$ - $$$,American,Bar,Seafood
"Benevento's, Boston","111 Salem St, Boston, MA 02113-2245",(452),253,123,31,14,12,$$ - $$$,Italian,Pizza,Vegetarian Friendly
"Mooo Restaurant, Boston","15 Beacon St adjacent to the XV Beacon Hotel, Boston, MA 02108-2902",(808),438,223,62,21,20,$$$$,American,Steakhouse,Gluten Free Options
