direction,latitude,longitude,error
"138 Saint James Ave, Boston, MA 02116-5002",42.3490607,-71.07618100440875,False
"47 Charles St, Boston, MA 02114-4605",42.3574284,-71.0699156,False
"6 Beacon St, Boston, MA 02108-3808",42.358149,-71.0617226,False
"550 Tremont St, Boston, MA 02116-6314",42.3438996,-71.07127516873739,False
"177 Tremont St, Boston, MA 02111-1020",42.3529973,-71.0642375,False
"37 Bowdoin St, Boston, MA 02114-4201",42.359902000000005,-71.06312300417966,False
"75 Chestnut St Ste 1, Boston, MA 02108-1137",,,True
"525 Tremont St, Boston, MA 02116-6306",42.34461885,-71.07091942743736,False
"210 Hanover St, Boston, MA 02113-2302",42.3628574,-71.0555973,False
"1145 Washington St, Boston, MA 02118-2728",42.34360432405552,-71.06631547733991,False
"131 Brighton Ave, Boston, MA 02134-2802",42.35302634773274,-71.13120918342574,False
"611 Dorchester Ave, Boston, MA 02127-3509",42.3288045,-71.0570881,False
"323 Hanover St, Boston, MA 02113-1820",42.3641206,-71.0539844,False
"162 Columbus Ave Back Bay / South End, Boston, MA 02116-5235",,,True
"2 Winter Pl, Boston, MA 02108-4733",42.355426699999995,-71.06137215119342,False
"500 Commonwealth Ave, Boston, MA 02215-2606",42.348593,-71.0953263,False
"111 Chelsea St, Boston, MA 02128-1937",42.3726687,-71.0353415,False
"4 Columbus Ave, Boston, MA 02116-3910",42.351309854166665,-71.0683314375,False
"9 Park St, Boston, MA 02108-4804",42.3576412,-71.0629056,False
"255 State St Long Wharf, Boston, MA 02109-2617",,,True
"272 Boylston St, Boston, MA 02116-3917",42.3501451,-71.0771435,False
"215 Charles St Liberty Hotel, Boston, MA 02114-3001",,,True
"226 Hanover St, Boston, MA 02113-2302",42.36313051020408,-71.05545085714286,False
"131 Dartmouth St, Boston, MA 02116-5297",42.3467104,-71.0753958,False
"429 Columbus Ave Ste 1, Boston, MA 02116-5959",,,True
"77 Broad St, Boston, MA 02109-4808",42.3576683,-71.0535739,False
"2 Seaport Ln 2 Seaport Lane, Boston, MA 02210-2001",,,True
"130 Dartmouth St, Boston, MA 02116-5118",42.3469394,-71.0761022,False
"346 Hanover St, Boston, MA 02113-1911",42.364967,-71.0534245,False
"177A Massachusetts Ave, Boston, MA 02115-3009",42.3514033,-71.0897609,False
"417 Hanover St, Boston, MA 02113-1319",42.365673,-71.052793,False
"50 Northern Ave, Boston, MA 02210-1862",42.3533809,-71.0461504,False
"112 Salem St, Boston, MA 02113-1705",42.3645231,-71.0555925,False
"109 Salem St, Boston, MA 02113-2274",42.3642349,-71.0554623,False
"271 Dartmouth St, Boston, MA 02116-2837",42.3506853,-71.0774037,False
"370A Commonwealth Ave The Eliot Hotel, Boston, MA 02215",,,True
"190 North St, Boston, MA 02113-2412",42.36326887789592,-71.05365412946274,False
"754 South St, Boston, MA 02131-1740",42.287009791724095,-71.1293300076038,False
"383 Congress St, Boston, MA 02210-1811",42.3495874,-71.0474916,False
"111 Salem St, Boston, MA 02113-2245",42.3642982,-71.0554599,False
"15 Beacon St adjacent to the XV Beacon Hotel, Boston, MA 02108-2902",,,True
"352 Hanover St, Boston, MA 02113-1911",42.365015,-71.053382,False
"63 Salem St Ste 1, Boston, MA 02113-2273",39.73928,-84.851885,False
"82A Lansdowne St, Boston, MA 02215-3411",42.3470437,-71.0967137,False
"355 Hanover St, Boston, MA 02113-1910",42.364597,-71.0534901,False
"505 Washington St The Godfrey Hotel, Boston, MA 02111-1211",,,True
"1100 Boylston St, Boston, MA 02215-3601",42.3442651,-71.0989167,False
"7 Moulton St, Boston, MA 02129-3115",42.3766774,-71.05650925494241,False
"2 Pleasant St, Boston, MA 02129-3602",42.3751497,-71.0622552,False
"793 Boylston St, Boston, MA 02116",42.3491548,-71.0815528,False
"161 Berkeley St, Boston, MA 02116-5108",42.3493944,-71.0720613,False
"261 Newbury St, Boston, MA 02116-2402",42.3496572,-71.0832743,False
"253 Shawmut Ave, Boston, MA 02118-2178",42.343392,-71.068631,False
"1704 Washington St, Boston, MA 02118-3307",42.33697115,-71.07592868948728,False
"140 Seaport Blvd, Boston, MA 02210-2045",42.3520678,-71.0459768,False
"361 Boylston St, Boston, MA 02116-3303",42.3518547,-71.0716446,False
"354 Congress St, Boston, MA 02210-1295",42.3504639,-71.0482916,False
"513 Tremont St, Boston, MA 02116-6306",42.3448813,-71.070484,False
"141 Salem St, Boston, MA 02113-1728",42.36511,-71.055345,False
"24 Fleet St, Boston, MA 02113",42.364687950000004,-71.05272703176317,False
"50 Gloucester St, Boston, MA 02115-3141",42.3486374,-71.0840371,False
"1381 Boylston St, Boston, MA 02215-3936",42.343909,-71.1011137,False
"500A Commonwealth Ave, Boston, MA 02215-2606",42.34871,-71.09513,False
"2 Perkins St Jamaica Plain, Boston, MA 02130-1109",42.3217745,-71.1103861,False
"200 Dartmouth St, Boston, MA 02116-3501",42.34851462752494,-71.0766408759061,False
"255 Tremont St, Boston, MA 02116-5607",42.35409855,-71.17854459289092,False
"116 Huntington Ave, Boston, MA 02116-5749",42.3491853,-71.0770258,False
"6 Prince St, Boston, MA 02113-2409",42.364132,-71.0537051,False
"50 Dalton St Ste 2, Boston, MA 02115-3129",,,True
"41 Union St, Boston, MA 02108-2494",42.3612749,-71.0569532,False
"1415 Washington St, Boston, MA 02118-2009",42.341192659462145,-71.07019743451794,False
"480 Columbus Ave, Boston, MA 02118-3138",42.34284385,-71.07860640000001,False
"138 Cambridge St, Boston, MA 02114-2711",42.3610246,-71.0639676,False
"67 Prince St, Boston, MA 02113-1827",42.3652024,-71.0552463382085,False
"1 Harborside Dr Logan Airport, Terminal E, Boston, MA 02128-2907",,,True
"154 Berkeley St, Boston, MA 02116-5107",42.3492894,-71.072294,False
"338 Newbury St, Boston, MA 02115-2700",42.3482979,-71.0866366,False
"65 Exeter St Lenox Hotel, Boston, MA 02116-3505",,,True
"60 Franklin St, Boston, MA 02110-1302",42.356657,-71.0538353,False
"800 Boylston Street Prudential Center, Boston, MA 02199",,,True
"264 Hanover St, Boston, MA 02113-2303",42.363613,-71.054828,False
"181 Cambridge St, Boston, MA 02114-2786",42.3620025,-71.0653418,False
"252 Commercial St, Boston, MA 02109-1305",42.36369501788468,-71.05140820566034,False
"181 Newbury St, Boston, MA 02116",42.3505427,-71.0797493,False
"286 Hanover St, Boston, MA 02113-1804",42.36396605,-71.05454750580864,False
"560 Harrison Ave, Boston, MA 02118-2436",42.3409422,-71.0673326,False
"126 Brookline Ave, Boston, MA 02215-3920",42.345451,-71.1001214,False
"541 Tremont St, Boston, MA 02116-6306",42.344207857142855,-71.071338,False
"314 Shawmut Ave, Boston, MA 02118-2190",42.342084400000005,-71.07035745000002,False
"42 Charles St, Boston, MA 02114-4604",42.3572305,-71.0701821,False
"294 Congress St Atlantic Wharf Boston, Boston, MA 02210-1003",,,True
"135 Market St, Boston, MA 02135-2085",42.3577196,-71.148467,False
"319 Hanover St, Boston, MA 02113-1820",42.3641034,-71.0540036,False
"21 Drydock Ave, Boston, MA 02210-2384",42.344239900000005,-71.0310313,False
"70 Rowes Wharf, Boston, MA 02110-3300",42.3566602,-71.0503163,False
"160 State St, Boston, MA 02109-2502",42.3594126,-71.0536973,False
"379 Hanover St, Boston, MA 02113-1907",42.3649606,-71.05301394237114,False
"26 North St The Millennium Bostonian Hotel, Boston, MA 02109-1503",,,True
"132 Brookline Ave Fenway Park Area, Boston, MA 02215-3907",,,True
"226 Newbury St, Boston, MA 02116-2565",42.3497512,-71.0812559,False
