direction,latitude,longitude,error
"67 Main St Charlestown, Boston, MA 02129-3738",42.3736375,-71.062397,False
"1282 Boylston St, Boston, MA 02215-4448",42.3445524,-71.0975012,False
"20 Charles St, Boston, MA 02114-4602",42.3565533,-71.0694213,False
"289 Causeway Street North End, Boston, MA 02114",42.367029375,-71.05824825,False
"30 Rowes Wharf, Boston, MA 02110-3345",42.3571387,-71.0507043,False
"130 Dartmouth St, Boston, MA 02116-5118",42.3469394,-71.0761022,False
"361 Hanover St, Boston, MA 02113-1910",42.36463,-71.053467,False
"150 Tremont St, Boston, MA 02111-1138",42.3549535,-71.0633749,False
"45 Province St, Boston, MA 02108-4124",42.357051,-71.060062,False
"58 Hemenway St, Boston, MA 02115-2910",42.345030894736844,-71.08954410526316,False
"107 State St, Boston, MA 02109-2908",42.359115,-71.054851,False
"1 Faneuil Hall Market Pl Ste 36, Boston, MA 02109-6117",,,True
"345 Congress Street, Fort Point, Boston, MA 02210-1222",,,True
"800 Boylston St Suite 155,Prudential Center, Boston, MA 02199",,,True
"93 Salem St Outside Dining Available, Boston, MA 02113-2217",,,True
"222 Newbury St, Boston, MA 02116-2564",42.3497522,-71.0810802,False
"1 Stuart St, Boston, MA 02116-4723",42.3510675,-71.0631238,False
"371 Hanover St, Boston, MA 02113-1929",42.364877,-71.05323849999999,False
"452 Huntington Ave, Boston, MA 02115-5601",42.3411763,-71.0867996,False
"195 State St, Boston, MA 02109-2678",42.35937716666667,-71.05278891666666,False
"436 Western Ave, Boston, MA 02135-1016",42.3623223,-71.1408984,False
"188 Baker St West Roxbury, Boston, MA 02132-4838",42.278481,-71.167126,False
"82 Lansdowne St Fenway, Boston, MA 02215-3411",,,True
"182 Massachusetts Ave, Boston, MA 02115-3011",42.3514033,-71.0897609,False
"1114 Boylston St, Boston, MA 02215-3601",42.3467922,-71.0887042,False
"789 Adams St, Boston, MA 02124-5103",42.283344,-71.055858,False
"309 D St, Boston, MA 02127-1268",42.3399056,-71.04939066666667,False
"115 Causeway St North Station across from TD Garden, Boston, MA 02114-1304",,,True
