name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible
"Figs by Todd English, Boston","67 Main St Charlestown, Boston, MA 02129-3738",(189),63,72,25,10,10
"Blaze Pizza, Boston","1282 Boylston St, Boston, MA 02215-4448",(71),34,21,4,3,3
"The Upper Crust, Boston","20 Charles St, Boston, MA 02114-4602",(241),100,59,32,15,17
"Ducali Pizzeria & Bar, Boston","289 Causeway Street North End, Boston, MA 02114",(124),47,45,10,3,4
"Pasta Beach, Boston","30 Rowes Wharf, Boston, MA 02110-3345",(298),90,92,37,13,18
"The Salty Pig, Boston","130 Dartmouth St, Boston, MA 02116-5118",(511),232,198,49,11,4
"BenCotto, Boston","361 Hanover St, Boston, MA 02113-1910",(161),95,34,10,6,7
"Sal's Pizza, Boston","150 Tremont St, Boston, MA 02111-1138",(78),39,18,11,2,0
"Mast's, Boston","45 Province St, Boston, MA 02108-4124",(144),57,33,19,8,4
"Woody's Grill and Tap, Boston","58 Hemenway St, Boston, MA 02115-2910",(128),62,48,5,2,3
"Crush Pizza, Boston","107 State St, Boston, MA 02109-2908",(117),61,32,8,3,4
"Pizzeria Regina, Boston","1 Faneuil Hall Market Pl Ste 36, Boston, MA 02109-6117",(197),72,58,27,9,4
"Pastoral, Boston","345 Congress Street, Fort Point, Boston, MA 02210-1222",(221),91,66,36,7,4
"California Pizza Kitchen, Boston","800 Boylston St Suite 155,Prudential Center, Boston, MA 02199",(427),92,153,85,12,16
"Antico Forno, Boston","93 Salem St Outside Dining Available, Boston, MA 02113-2217",(995),396,335,110,52,36
"Dirty Water Dough, Boston","222 Newbury St, Boston, MA 02116-2564",(107),49,34,9,3,3
Boston Kitchen Pizza,"1 Stuart St, Boston, MA 02116-4723",(79),29,23,4,3,3
"Rina's, Boston","371 Hanover St, Boston, MA 02113-1929",(95),51,21,7,3,3
"University House of Pizza, Boston","452 Huntington Ave, Boston, MA 02115-5601",(17),7,5,1,1,1
